circuit,gender,year,attacks,kills,errors,aces,serve_errors,blocks,digs,win
AVP,M,2007,36,23,5,0,2,6,11,win
AVP,M,2007,36,23,3,2,1,10,11,win
AVP,M,2007,40,22,3,0,0,6,16,win
AVP,M,2007,39,21,5,3,4,2,9,win
AVP,M,2007,50,32,7,0,6,3,17,win
AVP,M,2007,40,28,3,4,7,3,5,win
AVP,M,2007,74,39,13,0,3,5,19,win
AVP,M,2007,36,29,2,0,1,7,9,win
AVP,M,2007,41,18,12,2,3,4,6,win
AVP,M,2007,49,27,8,2,6,6,23,win
AVP,M,2007,54,32,4,2,1,1,15,win
AVP,M,2007,40,23,3,1,3,3,8,win
AVP,M,2007,65,36,15,1,4,0,24,win
AVP,M,2007,50,30,5,2,5,4,12,win
AVP,M,2007,66,37,8,1,0,5,21,win
AVP,M,2007,73,37,10,1,7,5,24,win
AVP,M,2007,40,25,4,0,7,4,13,win
AVP,M,2007,38,26,1,1,3,4,14,win
AVP,M,2007,45,30,6,1,3,4,17,win
AVP,M,2007,48,28,4,1,6,4,14,win
AVP,M,2007,70,38,9,1,1,3,23,win
AVP,M,2007,66,32,14,1,4,11,23,win
AVP,M,2007,80,34,15,2,1,3,29,win
AVP,M,2007,82,43,18,0,5,3,23,win
AVP,M,2007,45,27,6,0,1,7,15,win
AVP,M,2007,53,26,8,3,3,5,20,win
AVP,M,2007,77,34,14,0,5,10,26,win
AVP,M,2007,49,29,8,1,1,5,14,win
AVP,M,2007,43,23,11,1,3,8,6,win
AVP,M,2007,47,25,4,1,2,7,14,win
AVP,M,2007,72,37,12,2,1,6,18,win
AVP,M,2007,51,35,4,1,4,5,12,win
AVP,M,2007,43,26,3,2,0,6,19,win
AVP,M,2007,61,36,9,0,7,6,15,win
AVP,W,2007,60,31,3,1,1,1,30,win
AVP,W,2007,42,28,3,4,4,2,13,win
AVP,W,2007,76,37,10,6,10,1,32,win
AVP,W,2007,65,33,4,1,3,4,21,win
AVP,W,2007,43,23,8,6,4,4,15,win
AVP,W,2007,50,27,4,3,4,1,22,win
AVP,W,2007,75,35,5,3,4,2,20,win
AVP,W,2007,75,35,8,3,6,4,27,win
AVP,W,2007,40,30,3,0,1,4,16,win
AVP,W,2007,39,29,1,4,5,1,18,win
AVP,W,2007,52,23,8,3,3,4,14,win
AVP,W,2007,78,41,9,3,5,4,31,win
AVP,W,2007,48,29,6,3,2,4,18,win
AVP,W,2007,44,27,2,3,5,3,22,win
AVP,W,2007,67,21,13,3,5,5,30,win
AVP,W,2007,66,35,10,4,10,5,23,win
AVP,W,2007,47,26,3,2,2,3,18,win
AVP,W,2007,61,29,11,7,7,2,17,win
AVP,W,2007,55,25,4,1,6,2,22,win
AVP,W,2007,52,28,7,5,8,3,9,win
AVP,W,2007,63,39,7,2,1,6,17,win
AVP,W,2007,67,28,8,0,4,4,27,win
AVP,W,2007,74,36,10,5,9,5,26,win
AVP,W,2007,86,35,8,1,0,2,41,win
AVP,W,2007,62,36,6,2,3,4,22,win
AVP,W,2007,59,36,6,2,4,3,25,win
AVP,W,2007,46,29,5,5,3,2,17,win
AVP,W,2007,50,26,4,2,4,3,21,win
AVP,W,2007,45,26,4,2,2,1,24,win
AVP,W,2007,53,30,3,6,4,0,26,win
AVP,W,2007,59,31,6,6,7,0,26,win
AVP,W,2007,43,27,4,2,1,1,19,win
AVP,W,2007,55,29,6,0,3,4,22,win
AVP,W,2007,67,30,6,2,2,4,28,win
AVP,W,2007,38,21,4,2,5,2,17,win
AVP,W,2007,37,22,4,4,2,3,14,win
AVP,W,2007,64,43,6,0,7,3,11,win
AVP,W,2007,55,27,3,5,6,0,21,win
AVP,W,2007,64,38,11,2,8,4,25,win
AVP,W,2007,55,37,7,4,7,2,13,win
AVP,W,2007,71,33,11,1,5,2,27,win
AVP,W,2007,41,23,6,2,4,5,15,win
AVP,W,2007,52,31,3,0,2,3,18,win
AVP,W,2007,68,37,6,2,7,6,23,win
AVP,W,2007,74,36,7,1,1,3,29,win
AVP,M,2007,34,27,2,2,1,4,11,win
AVP,M,2007,43,21,4,5,1,5,18,win
AVP,M,2007,37,21,4,1,5,2,7,win
AVP,M,2007,55,32,5,1,5,2,21,win
AVP,M,2007,32,19,5,6,1,2,12,win
AVP,M,2007,77,35,9,0,6,3,20,win
AVP,M,2007,54,35,6,0,2,12,9,win
AVP,M,2007,32,25,1,1,2,1,10,win
AVP,M,2007,31,17,4,2,2,8,8,win
AVP,M,2007,38,28,3,3,3,5,9,win
AVP,M,2007,59,26,11,1,2,2,22,win
AVP,M,2007,46,19,7,0,4,6,14,win
AVP,M,2007,36,23,4,7,4,4,10,win
AVP,M,2007,45,27,4,1,1,1,12,win
AVP,M,2007,47,29,5,1,1,6,14,win
AVP,M,2007,42,29,6,1,3,2,14,win
AVP,M,2007,46,29,8,1,2,6,19,win
AVP,M,2007,55,25,11,5,4,5,11,win
AVP,M,2007,43,27,3,1,5,3,13,win
AVP,M,2007,73,38,12,1,4,9,20,win
AVP,M,2007,34,23,5,1,5,2,11,win
AVP,M,2007,88,31,13,0,1,4,35,win
AVP,M,2007,76,29,7,2,3,10,28,win
AVP,M,2007,45,28,5,0,3,5,10,win
AVP,M,2007,44,26,8,3,3,3,12,win
AVP,M,2007,63,33,14,0,2,6,15,win
AVP,M,2007,72,44,9,4,9,4,15,win
AVP,M,2007,61,30,4,0,0,7,26,win
AVP,M,2007,42,24,5,0,2,8,8,win
AVP,M,2007,46,26,4,0,4,4,23,win
AVP,M,2007,13,9,0,2,0,3,6,win
AVP,M,2007,47,24,9,7,11,1,13,win
AVP,M,2007,51,29,8,2,5,2,17,win
AVP,M,2007,39,21,5,3,0,3,18,win
AVP,M,2007,60,39,7,4,3,5,12,win
AVP,M,2007,67,30,13,1,5,6,19,win
AVP,M,2007,54,27,12,0,3,4,21,win
AVP,M,2007,35,25,3,0,4,2,16,win
AVP,M,2007,40,20,9,0,1,7,9,win
AVP,M,2007,33,16,5,3,5,5,12,win
AVP,M,2007,59,29,6,1,2,2,25,win
AVP,M,2007,77,37,8,1,5,5,35,win
AVP,M,2007,40,21,7,3,1,7,18,win
AVP,M,2007,58,34,9,2,5,8,17,win
AVP,M,2007,41,23,5,4,5,4,8,win
AVP,M,2007,51,28,7,2,2,6,13,win
AVP,M,2007,37,22,4,1,1,4,14,win
AVP,M,2007,79,41,7,0,9,5,29,win
AVP,M,2007,37,25,5,2,2,5,9,win
AVP,M,2007,47,27,8,4,3,2,21,win
AVP,M,2007,56,28,3,1,0,5,17,win
AVP,M,2007,62,32,7,1,4,4,25,win
AVP,M,2007,57,32,5,0,1,3,16,win
AVP,M,2007,66,33,10,2,4,3,15,win
AVP,M,2007,55,30,10,5,6,6,7,win
AVP,M,2007,71,36,10,0,0,6,22,win
AVP,M,2007,64,30,4,1,3,2,27,win
AVP,M,2007,86,43,11,0,3,8,32,win
AVP,M,2007,32,24,2,4,5,5,7,win
AVP,M,2007,65,33,8,0,2,4,20,win
AVP,M,2007,43,30,6,1,2,5,13,win
AVP,W,2007,38,24,1,3,3,3,22,win
AVP,W,2007,46,30,2,7,3,0,12,win
AVP,W,2007,61,28,6,2,1,2,20,win
AVP,W,2007,44,26,6,6,7,1,20,win
AVP,W,2007,45,26,4,6,5,2,16,win
AVP,W,2007,35,26,1,7,4,0,18,win
AVP,W,2007,46,12,9,4,4,2,18,win
AVP,W,2007,40,29,1,4,3,3,18,win
AVP,W,2007,31,20,4,10,7,6,9,win
AVP,W,2007,80,38,6,6,5,4,30,win
AVP,W,2007,62,32,2,2,4,0,26,win
AVP,W,2007,40,26,3,3,4,2,17,win
AVP,W,2007,35,23,2,3,8,3,11,win
AVP,W,2007,41,24,4,4,5,2,11,win
AVP,W,2007,73,39,10,3,1,6,28,win
AVP,W,2007,26,21,2,7,5,6,9,win
AVP,W,2007,47,30,0,7,5,2,24,win
AVP,W,2007,66,38,3,0,4,0,21,win
AVP,W,2007,47,29,4,3,6,2,20,win
AVP,W,2007,30,22,2,5,2,3,12,win
AVP,W,2007,74,36,12,2,8,6,24,win
AVP,W,2007,63,29,0,4,4,1,32,win
AVP,W,2007,37,22,6,4,6,3,12,win
AVP,W,2007,43,28,2,8,5,3,14,win
AVP,W,2007,47,24,2,1,5,7,13,win
AVP,W,2007,60,35,4,3,11,3,11,win
AVP,W,2007,55,29,9,5,6,2,17,win
AVP,W,2007,60,31,7,8,11,1,27,win
AVP,W,2007,79,44,11,1,10,6,29,win
AVP,W,2007,59,36,8,4,5,2,17,win
AVP,W,2007,47,25,7,1,4,3,18,win
AVP,W,2007,54,30,3,3,2,1,24,win
AVP,W,2007,41,23,3,4,2,1,16,win
AVP,W,2007,35,22,3,7,2,2,19,win
AVP,W,2007,86,35,6,6,1,3,40,win
AVP,W,2007,85,33,4,1,0,2,40,win
AVP,W,2007,38,26,1,3,1,0,14,win
AVP,W,2007,48,34,4,11,9,0,15,win
AVP,W,2007,52,23,3,2,3,7,18,win
AVP,W,2007,60,29,10,4,0,4,24,win
AVP,W,2007,41,23,4,9,4,1,14,win
AVP,W,2007,72,31,7,6,7,3,21,win
AVP,W,2007,41,21,4,7,5,1,13,win
AVP,W,2007,45,31,3,6,5,0,17,win
AVP,W,2007,75,41,10,3,5,2,27,win
AVP,W,2007,43,21,4,4,2,1,15,win
AVP,W,2007,46,22,6,3,3,4,17,win
AVP,W,2007,40,26,3,5,8,1,18,win
AVP,W,2007,59,34,3,4,4,0,20,win
AVP,W,2007,67,37,5,0,5,0,34,win
AVP,W,2007,49,29,5,4,3,5,15,win
AVP,W,2007,57,28,6,0,2,3,17,win
AVP,W,2007,85,36,12,1,5,1,39,win
AVP,W,2007,42,29,1,3,4,3,14,win
AVP,W,2007,69,38,8,1,2,2,24,win
AVP,W,2007,39,25,1,2,0,2,14,win
AVP,W,2007,63,32,3,0,5,4,22,win
AVP,W,2007,55,29,3,2,5,2,25,win
AVP,W,2007,65,36,9,0,4,6,24,win
AVP,W,2007,44,25,2,1,1,5,19,win
AVP,W,2007,51,21,7,4,2,4,24,win
AVP,M,2007,68,41,7,1,0,8,19,win
AVP,M,2007,36,23,1,2,3,2,11,win
AVP,M,2007,57,26,8,2,0,6,22,win
AVP,M,2007,54,29,11,1,0,6,17,win
AVP,M,2007,44,29,5,2,3,4,10,win
AVP,M,2007,68,39,8,2,2,6,15,win
AVP,M,2007,51,31,9,1,2,2,16,win
AVP,M,2007,41,27,2,2,1,3,11,win
AVP,M,2007,28,21,2,7,5,6,7,win
AVP,M,2007,42,27,4,4,3,3,13,win
AVP,M,2007,52,25,9,2,0,3,16,win
AVP,M,2007,39,27,6,3,2,4,11,win
AVP,M,2007,38,24,2,1,5,5,13,win
AVP,M,2007,49,31,6,1,2,3,10,win
AVP,M,2007,46,26,5,3,1,4,13,win
AVP,M,2007,49,25,5,2,4,7,8,win
AVP,M,2007,52,28,5,0,7,4,14,win
AVP,M,2007,56,31,4,0,1,7,21,win
AVP,M,2007,52,33,6,1,4,2,7,win
AVP,M,2007,51,28,7,1,5,4,14,win
AVP,M,2007,46,27,2,1,5,3,23,win
AVP,M,2007,40,30,2,1,4,3,16,win
AVP,M,2007,55,36,5,0,0,1,18,win
AVP,M,2007,57,30,5,7,5,3,14,win
AVP,M,2007,44,26,3,0,1,3,16,win
AVP,M,2007,42,21,5,3,5,3,16,win
AVP,M,2007,79,43,11,0,1,3,24,win
AVP,M,2007,36,26,2,0,2,3,12,win
AVP,M,2007,43,26,5,1,5,3,15,win
AVP,M,2007,43,28,4,2,3,4,10,win
AVP,M,2007,37,26,7,7,5,1,4,win
AVP,M,2007,76,43,6,1,1,5,20,win
AVP,M,2007,62,38,7,0,1,1,24,win
AVP,M,2007,40,25,4,0,5,2,9,win
AVP,M,2007,44,33,3,0,0,0,9,win
AVP,M,2007,55,33,4,4,4,5,15,win
AVP,M,2007,48,29,5,2,3,1,10,win
AVP,M,2007,58,28,7,2,8,6,17,win
AVP,M,2007,45,30,5,3,3,5,8,win
AVP,M,2007,35,27,1,1,5,8,6,win
AVP,M,2007,51,31,4,0,1,2,19,win
AVP,M,2007,59,32,7,1,3,2,12,win
AVP,M,2007,40,26,5,4,4,3,13,win
AVP,M,2007,77,50,7,0,4,2,20,win
AVP,M,2007,42,24,6,4,7,2,9,win
AVP,W,2007,44,25,5,3,0,4,15,win
AVP,W,2007,45,27,3,3,5,1,19,win
AVP,W,2007,66,38,10,3,4,2,27,win
AVP,W,2007,75,39,9,1,5,1,28,win
AVP,W,2007,69,34,12,1,2,7,26,win
AVP,W,2007,44,26,2,6,2,2,15,win
AVP,W,2007,51,30,6,7,4,1,18,win
AVP,W,2007,49,34,3,3,2,1,22,win
AVP,W,2007,58,30,10,1,1,2,23,win
AVP,W,2007,46,29,3,1,5,4,14,win
AVP,W,2007,59,31,2,2,5,1,24,win
AVP,W,2007,48,28,6,3,3,3,16,win
AVP,W,2007,57,27,5,1,2,3,22,win
AVP,W,2007,39,28,4,3,7,1,16,win
AVP,W,2007,42,23,1,2,7,5,15,win
AVP,W,2007,60,36,1,1,6,2,17,win
AVP,W,2007,51,28,4,0,0,2,19,win
AVP,W,2007,64,33,8,2,5,1,20,win
AVP,W,2007,32,23,2,1,5,1,8,win
AVP,W,2007,42,21,7,2,2,3,16,win
AVP,W,2007,50,27,3,0,3,2,23,win
AVP,W,2007,66,35,5,4,6,3,17,win
AVP,W,2007,48,35,3,3,3,1,19,win
AVP,W,2007,50,26,4,1,5,4,20,win
AVP,W,2007,76,32,4,6,7,1,29,win
AVP,W,2007,81,33,12,1,1,2,39,win
AVP,W,2007,44,27,5,3,1,2,15,win
AVP,W,2007,55,29,5,4,5,3,21,win
AVP,W,2007,46,31,3,3,1,1,14,win
AVP,W,2007,54,28,6,1,0,0,29,win
AVP,W,2007,75,38,11,4,8,2,23,win
AVP,W,2007,55,30,4,3,5,2,29,win
AVP,W,2007,55,34,6,1,7,2,25,win
AVP,W,2007,55,26,5,3,3,1,19,win
AVP,W,2007,36,22,4,6,4,5,12,win
AVP,W,2007,71,31,5,3,4,3,25,win
AVP,W,2007,57,25,5,6,5,2,9,win
AVP,W,2007,40,26,2,3,5,4,18,win
AVP,W,2007,48,29,3,3,3,3,15,win
AVP,W,2007,58,23,7,3,5,1,29,win
AVP,W,2007,64,32,5,1,3,2,22,win
AVP,W,2007,64,28,9,1,1,3,28,win
AVP,W,2007,53,29,4,0,3,1,20,win
AVP,W,2007,80,39,8,3,8,2,22,win
AVP,W,2007,44,24,1,1,1,6,17,win
AVP,M,2007,61,30,10,5,6,5,10,win
AVP,M,2007,42,28,6,2,5,2,9,win
AVP,M,2007,76,40,10,3,3,6,22,win
AVP,M,2007,52,29,5,3,3,5,16,win
AVP,M,2007,52,32,7,1,6,6,15,win
AVP,M,2007,56,36,10,6,8,3,9,win
AVP,M,2007,34,19,4,5,1,1,10,win
AVP,M,2007,31,19,1,4,5,6,9,win
AVP,M,2007,49,35,2,2,4,5,14,win
AVP,M,2007,42,22,2,0,1,9,15,win
AVP,M,2007,49,34,5,3,3,2,13,win
AVP,M,2007,47,33,6,0,4,2,13,win
AVP,M,2007,47,28,4,0,1,3,15,win
AVP,M,2007,22,16,2,3,7,5,3,win
AVP,M,2007,38,26,4,2,4,3,9,win
AVP,M,2007,36,23,3,3,3,2,12,win
AVP,M,2007,52,27,7,0,2,3,17,win
AVP,M,2007,59,31,8,1,2,12,16,win
AVP,M,2007,67,35,10,3,5,4,17,win
AVP,M,2007,50,24,8,1,4,4,18,win
AVP,M,2007,42,31,4,1,6,3,8,win
AVP,M,2007,47,31,7,0,1,4,13,win
AVP,M,2007,54,30,10,2,4,1,13,win
AVP,M,2007,40,22,3,5,1,4,10,win
AVP,M,2007,44,28,4,1,1,2,13,win
AVP,M,2007,59,36,9,2,4,4,9,win
AVP,M,2007,64,33,8,0,4,2,21,win
AVP,M,2007,44,28,8,3,7,1,10,win
AVP,M,2007,51,29,5,3,4,2,5,win
AVP,M,2007,33,18,3,0,1,1,11,win
AVP,M,2007,49,30,4,0,1,5,20,win
AVP,M,2007,41,25,5,2,1,1,12,win
AVP,M,2007,36,25,9,5,3,2,9,win
AVP,M,2007,40,24,7,1,1,5,8,win
AVP,M,2007,51,23,7,3,3,5,19,win
AVP,M,2007,53,34,4,0,4,4,21,win
AVP,M,2007,39,23,6,4,4,5,14,win
AVP,M,2007,35,18,5,1,2,6,8,win
AVP,M,2007,62,34,10,1,2,8,17,win
AVP,M,2007,49,28,6,1,3,5,12,win
AVP,M,2007,50,27,5,0,3,5,20,win
AVP,M,2007,79,43,8,2,5,5,25,win
AVP,M,2007,49,30,6,1,4,3,12,win
AVP,W,2007,55,31,3,1,0,0,23,win
AVP,W,2007,49,24,6,4,6,1,22,win
AVP,W,2007,42,25,1,1,2,6,17,win
AVP,W,2007,26,17,2,1,2,2,9,win
AVP,W,2007,48,22,5,2,1,3,20,win
AVP,W,2007,38,25,6,5,6,1,13,win
AVP,W,2007,71,38,10,3,3,1,27,win
AVP,W,2007,34,24,2,7,5,1,12,win
AVP,W,2007,50,31,3,4,3,1,23,win
AVP,W,2007,47,30,3,0,5,2,21,win
AVP,W,2007,48,32,7,2,5,3,19,win
AVP,W,2007,58,36,4,2,7,9,13,win
AVP,W,2007,42,28,4,5,5,3,14,win
AVP,W,2007,99,48,6,0,4,2,39,win
AVP,W,2007,59,24,4,4,3,1,26,win
AVP,W,2007,38,28,4,0,5,2,11,win
AVP,W,2007,48,27,5,2,2,6,13,win
AVP,W,2007,49,29,4,5,3,3,23,win
AVP,W,2007,52,31,4,0,2,1,18,win
AVP,W,2007,40,21,3,3,1,5,11,win
AVP,W,2007,89,40,14,4,8,3,29,win
AVP,W,2007,57,32,8,3,2,5,16,win
AVP,W,2007,46,26,5,1,2,5,25,win
AVP,W,2007,44,32,2,1,5,0,16,win
AVP,W,2007,56,27,7,4,0,3,20,win
AVP,W,2007,47,26,5,4,3,3,20,win
AVP,W,2007,46,26,5,4,4,2,15,win
AVP,W,2007,47,26,4,5,5,0,19,win
AVP,W,2007,73,41,4,3,4,2,32,win
AVP,W,2007,54,29,6,3,3,1,20,win
AVP,W,2007,47,26,5,4,1,1,15,win
AVP,W,2007,52,29,5,3,4,3,22,win
AVP,W,2007,63,32,6,4,5,3,22,win
AVP,W,2007,41,26,3,6,4,2,15,win
AVP,W,2007,47,32,5,2,5,0,14,win
AVP,W,2007,50,20,9,9,1,4,13,win
AVP,W,2007,44,31,3,2,1,3,10,win
AVP,W,2007,70,35,7,7,13,3,20,win
AVP,W,2007,74,41,10,1,2,3,27,win
AVP,W,2007,40,24,4,2,3,4,18,win
AVP,W,2007,65,39,7,0,2,1,23,win
AVP,W,2007,36,26,4,5,2,1,13,win
AVP,W,2007,50,23,8,3,2,4,21,win
AVP,M,2007,64,34,9,2,2,5,15,win
AVP,M,2007,39,25,2,2,2,9,12,win
AVP,M,2007,54,29,11,2,2,4,20,win
AVP,M,2007,63,38,7,4,8,5,20,win
AVP,M,2007,68,40,4,2,0,5,17,win
AVP,M,2007,43,20,7,1,0,5,17,win
AVP,M,2007,42,30,5,2,10,1,12,win
AVP,M,2007,40,30,3,3,9,5,6,win
AVP,M,2007,47,28,2,4,4,3,10,win
AVP,M,2007,56,33,5,0,1,5,17,win
AVP,M,2007,75,40,13,0,4,9,16,win
AVP,M,2007,46,23,2,2,0,3,18,win
AVP,M,2007,41,27,1,3,7,4,11,win
AVP,M,2007,38,26,5,2,3,4,11,win
AVP,M,2007,41,23,4,15,7,4,6,win
AVP,M,2007,41,30,6,1,0,6,7,win
AVP,M,2007,43,27,5,4,3,2,9,win
AVP,M,2007,54,33,4,0,1,4,20,win
AVP,M,2007,46,28,8,3,6,2,11,win
AVP,M,2007,72,37,8,2,4,6,16,win
AVP,M,2007,53,32,5,2,5,4,16,win
AVP,M,2007,59,34,12,2,5,6,14,win
AVP,M,2007,46,29,2,3,6,1,11,win
AVP,M,2007,41,25,5,1,7,6,10,win
AVP,M,2007,58,36,9,2,3,6,11,win
AVP,M,2007,62,34,9,0,9,6,11,win
AVP,M,2007,49,29,4,0,4,2,17,win
AVP,M,2007,34,20,3,1,2,4,15,win
AVP,M,2007,36,28,4,1,6,3,6,win
AVP,M,2007,57,32,13,1,1,5,13,win
AVP,M,2007,49,23,7,8,10,2,9,win
AVP,M,2007,48,26,7,1,1,2,10,win
AVP,M,2007,43,27,8,2,0,5,16,win
AVP,M,2007,43,28,0,1,3,7,14,win
AVP,M,2007,49,31,7,1,3,3,13,win
AVP,M,2007,68,31,13,4,2,8,20,win
AVP,M,2007,69,36,8,3,7,2,18,win
AVP,M,2007,41,23,4,4,6,7,7,win
AVP,M,2007,32,22,4,1,3,7,12,win
AVP,M,2007,43,29,1,2,4,1,12,win
AVP,M,2007,46,25,9,0,5,6,12,win
AVP,M,2007,44,28,5,1,1,5,14,win
AVP,M,2007,50,26,5,2,0,6,15,win
AVP,M,2007,47,28,2,0,3,4,17,win
AVP,M,2007,55,29,12,0,2,9,13,win
AVP,W,2007,62,35,4,3,5,3,21,win
AVP,W,2007,39,26,5,3,4,1,13,win
AVP,W,2007,71,35,7,1,3,5,27,win
AVP,W,2007,90,38,9,1,3,4,40,win
AVP,W,2007,56,25,5,2,8,3,22,win
AVP,W,2007,36,22,5,2,5,1,15,win
AVP,W,2007,59,30,6,2,2,1,23,win
AVP,W,2007,73,38,4,2,3,0,29,win
AVP,W,2007,43,26,1,2,1,4,18,win
AVP,W,2007,59,28,6,1,4,2,17,win
AVP,W,2007,43,22,6,5,6,7,15,win
AVP,W,2007,43,28,3,3,5,5,15,win
AVP,W,2007,62,34,8,4,4,3,25,win
AVP,W,2007,41,27,3,2,5,2,18,win
AVP,W,2007,49,34,2,1,2,1,21,win
AVP,W,2007,53,25,5,2,2,1,21,win
AVP,W,2007,40,25,2,2,5,11,13,win
AVP,W,2007,69,30,7,6,7,1,29,win
AVP,W,2007,55,35,4,3,7,4,8,win
AVP,W,2007,56,29,6,2,3,2,19,win
AVP,W,2007,55,27,4,1,0,3,24,win
AVP,W,2007,79,40,11,2,7,3,19,win
AVP,W,2007,64,35,6,4,1,2,25,win
AVP,W,2007,40,26,4,5,4,2,16,win
AVP,W,2007,55,35,5,4,7,5,18,win
AVP,W,2007,61,31,6,3,5,2,30,win
AVP,W,2007,70,32,8,2,1,5,23,win
AVP,W,2007,47,31,4,2,2,0,21,win
AVP,W,2007,59,26,7,1,7,2,25,win
AVP,W,2007,51,28,9,4,6,2,12,win
AVP,W,2007,67,33,10,5,1,3,22,win
AVP,W,2007,81,39,10,3,5,1,29,win
AVP,W,2007,51,29,6,1,3,4,19,win
AVP,W,2007,81,39,10,5,5,5,27,win
AVP,W,2007,49,27,7,5,6,5,12,win
AVP,W,2007,51,27,8,2,3,1,24,win
AVP,W,2007,54,27,6,0,1,3,21,win
AVP,W,2007,46,29,4,3,6,3,11,win
AVP,W,2007,44,25,3,4,5,1,22,win
AVP,W,2007,47,23,6,1,3,6,19,win
AVP,W,2007,65,33,3,2,5,5,23,win
AVP,W,2007,46,27,5,2,2,6,13,win
AVP,W,2007,60,34,2,0,2,3,25,win
AVP,W,2007,67,34,9,3,4,6,19,win
AVP,W,2007,45,32,2,1,2,1,18,win
AVP,M,2007,80,42,13,4,8,9,23,win
AVP,M,2007,24,21,0,1,0,6,8,win
AVP,M,2007,47,30,5,4,6,2,14,win
AVP,M,2007,67,37,13,1,4,10,23,win
AVP,M,2007,56,33,4,4,8,3,18,win
AVP,M,2007,34,24,5,1,8,4,10,win
AVP,M,2007,32,27,1,6,6,4,7,win
AVP,M,2007,53,37,2,1,4,4,13,win
AVP,M,2007,40,25,3,3,2,9,8,win
AVP,M,2007,61,32,9,1,1,5,16,win
AVP,M,2007,37,29,3,2,11,2,4,win
AVP,M,2007,30,19,4,4,2,6,8,win
AVP,M,2007,35,20,3,1,2,6,9,win
AVP,M,2007,60,33,18,2,2,7,16,win
AVP,M,2007,45,27,1,0,1,6,15,win
AVP,M,2007,41,25,3,2,6,5,16,win
AVP,M,2007,74,38,10,1,5,5,23,win
AVP,M,2007,56,33,9,3,6,6,18,win
AVP,M,2007,60,30,3,1,1,5,16,win
AVP,M,2007,38,27,5,4,4,5,9,win
AVP,M,2007,56,35,8,5,10,6,12,win
AVP,M,2007,48,34,5,2,8,3,22,win
AVP,M,2007,59,33,12,0,3,3,19,win
AVP,M,2007,24,16,4,6,9,4,7,win
AVP,M,2007,46,27,5,1,5,3,14,win
AVP,M,2007,36,25,3,6,3,6,14,win
AVP,M,2007,72,41,12,0,6,6,23,win
AVP,M,2007,51,30,4,0,2,3,18,win
AVP,M,2007,36,27,6,1,3,4,11,win
AVP,M,2007,79,45,4,1,4,2,20,win
AVP,M,2007,47,27,3,5,9,2,9,win
AVP,M,2007,74,33,15,1,3,6,25,win
AVP,M,2007,71,37,11,3,8,6,16,win
AVP,M,2007,45,27,5,3,2,1,17,win
AVP,M,2007,58,34,10,6,8,2,18,win
AVP,M,2007,49,27,3,0,1,6,18,win
AVP,M,2007,50,31,7,3,2,4,16,win
AVP,M,2007,44,30,5,3,8,2,16,win
AVP,M,2007,56,34,4,0,1,10,16,win
AVP,M,2007,45,30,1,1,4,7,10,win
AVP,M,2007,51,28,6,1,3,9,21,win
AVP,M,2007,80,43,12,1,8,5,26,win
AVP,M,2007,54,31,5,1,6,3,10,win
AVP,M,2007,66,35,12,5,4,7,16,win
AVP,M,2007,40,24,6,2,5,2,10,win
AVP,W,2007,46,29,3,3,1,3,13,win
AVP,W,2007,69,33,6,4,2,3,32,win
AVP,W,2007,40,27,4,5,1,0,12,win
AVP,W,2007,57,30,3,3,2,0,20,win
AVP,W,2007,61,30,5,2,1,5,18,win
AVP,W,2007,52,29,3,5,4,1,20,win
AVP,W,2007,51,35,6,3,5,0,16,win
AVP,W,2007,41,25,3,2,4,3,11,win
AVP,W,2007,39,19,1,2,1,8,26,win
AVP,W,2007,49,27,7,4,1,1,22,win
AVP,W,2007,71,36,8,2,6,4,24,win
AVP,W,2007,44,25,6,1,4,4,21,win
AVP,W,2007,38,25,1,9,6,4,10,win
AVP,W,2007,43,31,1,2,3,1,10,win
AVP,W,2007,39,28,2,2,2,2,11,win
AVP,W,2007,57,36,5,3,6,3,18,win
AVP,W,2007,44,31,0,1,0,4,14,win
AVP,W,2007,59,29,8,3,7,1,27,win
AVP,W,2007,34,26,3,6,3,1,10,win
AVP,W,2007,41,24,2,3,4,3,14,win
AVP,W,2007,54,33,1,1,1,2,23,win
AVP,W,2007,59,36,7,7,11,2,17,win
AVP,W,2007,38,27,4,8,3,1,11,win
AVP,W,2007,36,22,3,9,3,0,12,win
AVP,W,2007,34,30,1,4,7,1,17,win
AVP,W,2007,54,32,5,0,1,2,25,win
AVP,W,2007,65,33,6,1,1,3,21,win
AVP,W,2007,83,43,15,1,0,2,32,win
AVP,W,2007,41,29,2,2,4,2,11,win
AVP,W,2007,67,33,8,5,2,2,18,win
AVP,W,2007,50,29,2,2,6,5,12,win
AVP,W,2007,46,28,4,7,6,1,16,win
AVP,W,2007,73,38,11,0,2,4,27,win
AVP,W,2007,40,19,4,2,3,3,11,win
AVP,W,2007,40,26,4,2,4,2,14,win
AVP,W,2007,61,33,4,3,5,4,23,win
AVP,W,2007,55,31,5,2,3,3,22,win
AVP,W,2007,42,28,3,2,6,3,11,win
AVP,W,2007,45,30,5,2,8,1,10,win
AVP,W,2007,65,39,8,2,4,5,19,win
AVP,W,2007,60,32,3,2,8,6,22,win
AVP,W,2007,49,26,4,1,1,1,20,win
AVP,W,2007,75,38,9,3,1,2,24,win
AVP,W,2007,61,33,7,4,8,4,19,win
AVP,W,2007,42,24,0,1,3,8,19,win
AVP,M,2007,19,14,3,6,0,6,8,win
