circuit,gender,year,attacks,kills,errors,aces,serve_errors,blocks,digs,win
AVP,M,2004,56,31,9,2,5,6,19,win
AVP,M,2004,75,38,10,2,1,5,21,win
AVP,M,2004,54,33,1,0,1,2,26,win
AVP,M,2004,44,28,5,2,3,1,9,win
AVP,M,2004,52,27,7,1,1,8,18,win
AVP,W,2004,46,28,3,3,8,1,20,win
AVP,W,2004,0,0,0,1,0,0,0,win
AVP,W,2004,33,19,6,3,3,3,10,win
AVP,W,2004,60,27,4,3,7,0,28,win
AVP,W,2004,65,36,3,1,5,0,21,win
AVP,W,2004,31,19,3,3,3,4,16,win
AVP,W,2004,48,27,7,6,5,3,12,win
AVP,W,2004,27,22,1,1,5,3,14,win
AVP,W,2004,41,22,7,0,2,7,13,win
AVP,W,2004,36,21,5,1,2,2,16,win
AVP,W,2004,48,23,7,2,2,4,20,win
AVP,W,2004,44,27,8,0,3,4,16,win
AVP,W,2004,60,32,6,1,2,3,16,win
AVP,W,2004,54,32,1,3,8,5,22,win
AVP,W,2004,36,23,4,2,1,3,14,win
AVP,W,2004,47,30,3,0,3,5,21,win
AVP,W,2004,29,20,1,1,3,7,8,win
AVP,W,2004,57,32,5,0,4,4,17,win
AVP,W,2004,44,27,2,2,2,3,20,win
AVP,W,2004,38,27,4,4,7,2,10,win
AVP,W,2004,51,31,4,3,6,6,16,win
AVP,W,2004,38,23,2,8,4,2,15,win
AVP,W,2004,35,23,3,4,3,1,10,win
AVP,W,2004,33,19,2,4,3,0,17,win
AVP,W,2004,59,32,5,6,6,4,24,win
AVP,W,2004,48,28,3,5,5,2,11,win
AVP,W,2004,35,24,1,5,6,1,11,win
AVP,W,2004,45,23,12,2,3,0,16,win
AVP,W,2004,50,26,4,4,8,5,20,win
AVP,W,2004,53,30,13,1,2,4,13,win
AVP,W,2004,35,25,4,1,2,0,22,win
AVP,W,2004,72,37,6,2,8,1,32,win
AVP,W,2004,49,23,4,2,3,3,20,win
AVP,W,2004,66,35,1,0,2,4,29,win
AVP,W,2004,67,39,11,3,3,4,17,win
AVP,W,2004,40,23,3,2,2,1,14,win
AVP,W,2004,50,28,4,1,0,2,18,win
AVP,W,2004,67,38,11,1,6,5,31,win
AVP,W,2004,74,42,5,1,3,0,34,win
AVP,W,2004,42,31,3,1,2,2,17,win
AVP,W,2004,48,29,2,0,3,3,12,win
AVP,W,2004,35,22,3,2,0,6,14,win
AVP,M,2004,40,26,6,5,4,2,11,win
AVP,M,2004,51,35,6,1,4,4,13,win
AVP,M,2004,35,17,11,1,2,1,50,win
AVP,M,2004,49,26,11,2,3,4,16,win
AVP,M,2004,43,29,4,0,1,3,11,win
AVP,M,2004,36,26,3,1,1,8,10,win
AVP,M,2004,50,30,3,0,0,3,8,win
AVP,M,2004,40,28,4,3,4,3,14,win
AVP,M,2004,38,29,5,1,3,4,8,win
AVP,M,2004,37,21,14,2,2,0,22,win
AVP,M,2004,49,23,4,1,2,3,21,win
AVP,M,2004,34,25,2,2,0,3,13,win
AVP,M,2004,35,14,4,3,0,6,15,win
AVP,M,2004,37,24,7,3,7,3,11,win
AVP,M,2004,41,30,2,2,4,7,12,win
AVP,M,2004,27,20,3,1,1,9,4,win
AVP,M,2004,44,28,6,5,5,2,13,win
AVP,M,2004,49,21,12,2,2,5,23,win
AVP,M,2004,52,32,3,0,0,5,15,win
AVP,M,2004,65,42,11,1,6,7,19,win
AVP,M,2004,59,39,7,1,0,6,15,win
AVP,M,2004,45,27,1,2,3,3,15,win
AVP,M,2004,22,11,2,1,3,5,9,win
AVP,M,2004,38,22,5,0,1,5,9,win
AVP,M,2004,31,24,2,2,4,8,12,win
AVP,M,2004,38,23,8,2,2,9,11,win
AVP,M,2004,55,34,12,1,2,4,10,win
AVP,M,2004,43,25,5,0,0,7,11,win
AVP,M,2004,61,38,5,2,4,6,16,win
AVP,M,2004,80,41,18,0,0,9,23,win
AVP,M,2004,69,19,4,0,2,6,11,win
AVP,M,2004,51,36,9,2,7,4,9,win
AVP,M,2004,36,28,4,1,2,0,18,win
AVP,M,2004,37,23,6,1,0,8,13,win
AVP,M,2004,39,26,4,8,6,2,6,win
AVP,M,2004,71,40,9,0,3,8,23,win
AVP,M,2004,55,28,10,1,4,4,18,win
AVP,M,2004,63,38,2,1,4,2,27,win
AVP,M,2004,53,36,4,0,3,7,15,win
AVP,M,2004,57,41,6,2,4,2,18,win
AVP,M,2004,28,21,0,2,2,8,6,win
AVP,M,2004,29,19,3,4,5,4,5,win
AVP,M,2004,49,32,8,2,1,6,15,win
AVP,M,2004,36,19,8,4,3,3,15,win
AVP,M,2004,38,26,8,0,1,3,6,win
AVP,M,2004,62,38,5,1,5,2,15,win
AVP,M,2004,66,29,14,2,1,9,16,win
AVP,M,2004,71,40,6,0,2,14,19,win
AVP,M,2004,73,35,9,1,3,7,17,win
AVP,M,2004,44,24,8,0,0,8,18,win
AVP,M,2004,66,33,8,1,2,7,25,win
AVP,M,2004,57,34,2,1,5,6,18,win
AVP,M,2004,64,39,11,1,2,1,20,win
AVP,W,2004,34,21,9,3,2,6,15,win
AVP,W,2004,38,21,4,2,3,1,34,win
AVP,W,2004,40,28,3,0,2,4,16,win
AVP,W,2004,42,27,3,2,1,5,20,win
AVP,W,2004,26,21,2,5,2,4,17,win
AVP,W,2004,67,28,8,4,1,1,80,win
AVP,W,2004,27,18,9,2,1,2,13,win
AVP,W,2004,43,24,8,0,2,0,10,win
AVP,W,2004,55,31,10,3,2,1,28,win
AVP,W,2004,38,23,1,1,4,3,47,win
AVP,W,2004,39,18,3,4,7,3,26,win
AVP,W,2004,32,23,1,4,3,1,13,win
AVP,W,2004,46,24,3,2,5,8,20,win
AVP,W,2004,68,30,13,2,3,0,13,win
AVP,W,2004,35,23,1,3,5,6,8,win
AVP,W,2004,34,26,0,4,5,1,44,win
AVP,W,2004,44,22,4,2,1,4,29,win
AVP,W,2004,62,24,8,3,1,1,27,win
AVP,W,2004,57,31,5,0,2,4,18,win
AVP,W,2004,57,25,10,3,1,2,27,win
AVP,W,2004,42,28,7,1,5,3,12,win
AVP,W,2004,81,37,11,4,6,6,30,win
AVP,W,2004,41,31,5,1,6,2,11,win
AVP,W,2004,44,19,6,1,4,3,15,win
AVP,W,2004,39,24,0,1,3,6,14,win
AVP,W,2004,62,36,0,2,0,3,19,win
AVP,W,2004,22,16,0,4,3,4,7,win
AVP,W,2004,58,39,6,1,6,0,13,win
AVP,W,2004,39,25,3,3,0,4,21,win
AVP,W,2004,41,27,6,1,4,0,20,win
AVP,W,2004,52,22,6,2,1,6,28,win
AVP,W,2004,32,21,1,3,3,0,39,win
AVP,W,2004,53,21,7,2,6,1,21,win
AVP,W,2004,67,36,8,4,4,4,22,win
AVP,W,2004,62,31,5,1,5,0,68,win
AVP,W,2004,32,20,3,3,3,8,18,win
AVP,W,2004,39,24,4,3,1,6,13,win
AVP,W,2004,48,26,3,4,9,0,26,win
AVP,W,2004,38,27,3,3,4,5,21,win
AVP,W,2004,77,39,4,1,3,0,40,win
AVP,W,2004,28,17,4,3,2,1,25,win
AVP,W,2004,42,26,8,1,5,7,9,win
AVP,W,2004,38,22,3,1,4,4,24,win
AVP,W,2004,40,31,3,4,4,0,34,win
AVP,W,2004,36,18,4,3,2,6,15,win
AVP,W,2004,37,23,2,5,6,3,9,win
AVP,W,2004,53,37,9,6,4,4,10,win
